
94112,90604_20170502,05/02/2017 12:00:00 AM,New Ownership,Moderate Risk
94109,1757_20170928,09/28/2017 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94110,4864_20161206,12/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94110,79782_20160503,05/03/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94108,76437_20160329,03/29/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94109,19_20141110,11/10/2014 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94109,19_20141110,11/10/2014 12:00:00 AM,Routine - Unscheduled,Low Risk
94114,83325_20150529,05/29/2015 12:00:00 AM,New Ownership,Moderate Risk
94110,38929_20160114,01/14/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94110,81161_20160325,03/25/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94109,85781_20160311,03/11/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
,82880_20160309,03/09/2016 12:00:00 AM,Structural Inspection,Low Risk
94107,74760_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,
94134,16441_20161206,12/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94114,6348_20151224,12/24/2015 12:00:00 AM,Routine - Unscheduled,
94118,2716_20160323,03/23/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94111,64380_20160414,04/14/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94122,3594_20160330,03/30/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94118,87486_20161002,10/02/2016 12:00:00 AM,Routine - Unscheduled,
94107,5623_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,
94107,5493_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94118,69762_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94108,80081_20170104,01/04/2017 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94133,4469_20160804,08/04/2016 12:00:00 AM,Reinspection/Followup,
94102,64745_20170106,01/06/2017 12:00:00 AM,Routine - Unscheduled,Low Risk
94109,2085_20161109,11/09/2016 12:00:00 AM,Reinspection/Followup,
94110,69562_20160505,05/05/2016 12:00:00 AM,Routine - Unscheduled,
,62710_20160511,05/11/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94122,4960_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94103,73840_20170105,01/05/2017 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94123,74922_20160430,04/30/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94110,85037_20161206,12/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94123,66999_20160607,06/07/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94133,61_20150827,08/27/2015 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94133,61_20150827,08/27/2015 12:00:00 AM,Routine - Unscheduled,Low Risk
94133,61_20150827,08/27/2015 12:00:00 AM,Routine - Unscheduled,Low Risk
94103,4787_20160628,06/28/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94102,64682_20160129,01/29/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94108,82911_20170927,09/27/2017 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94103,59577_20160502,05/02/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94110,33700_20160412,04/12/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94107,5631_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94107,5633_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94107,5624_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94108,3522_20160412,04/12/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94121,37633_20160519,05/19/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94105,39667_20160906,09/06/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94111,67176_20160414,04/14/2016 12:00:00 AM,Routine - Unscheduled,
94112,88090_20160728,07/28/2016 12:00:00 AM,New Construction,
94110,33700_20141117,11/17/2014 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94115,59838_20160531,05/31/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94143,81134_20160127,01/27/2016 12:00:00 AM,Reinspection/Followup,Moderate Risk
94110,68963_20160412,04/12/2016 12:00:00 AM,Reinspection/Followup,
94121,1465_20150528,05/28/2015 12:00:00 AM,Routine - Unscheduled,Low Risk
94133,58673_20160412,04/12/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94103,66534_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94133,15535_20161227,12/27/2016 12:00:00 AM,Reinspection/Followup,
94104,77_20141124,11/24/2014 12:00:00 AM,Routine - Unscheduled,Low Risk
94104,77_20141124,11/24/2014 12:00:00 AM,Routine - Unscheduled,Low Risk
94132,3267_20161206,12/06/2016 12:00:00 AM,Complaint,Low Risk
94102,81987_20160627,06/27/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94102,81987_20160627,06/27/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94132,85407_20160601,06/01/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94122,3241_20160906,09/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94104,59025_20160608,06/08/2016 12:00:00 AM,Reinspection/Followup,
94103,5268_20160815,08/15/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94110,70713_20160503,05/03/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94103,59577_20160502,05/02/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94122,5960_20160506,05/06/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94105,87551_20160713,07/13/2016 12:00:00 AM,New Construction,
94111,77840_20160429,04/29/2016 12:00:00 AM,Routine - Unscheduled,
94122,87821_20160525,05/25/2016 12:00:00 AM,New Construction,
94134,74593_20161110,11/10/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94118,76826_20160518,05/18/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94103,65649_20161206,12/06/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94112,2766_20161021,10/21/2016 12:00:00 AM,Reinspection/Followup,
94107,5457_20160814,08/14/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94132,63943_20160509,05/09/2016 12:00:00 AM,Routine - Unscheduled,
94110,87203_20161116,11/16/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94102,87099_20161110,11/10/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94109,69353_20160907,09/07/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94109,58850_20160906,09/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94103,32586_20160906,09/06/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94114,2627_20170105,01/05/2017 12:00:00 AM,Routine - Unscheduled,Low Risk
94107,5523_20160814,08/14/2016 12:00:00 AM,Non-inspection site visit,
94122,85925_20161031,10/31/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94118,80598_20141202,12/02/2014 12:00:00 AM,New Construction,
94108,91934_20170928,09/28/2017 12:00:00 AM,Routine - Unscheduled,Low Risk
94102,81845_20161229,12/29/2016 12:00:00 AM,Routine - Scheduled,Low Risk
94103,4907_20170105,01/05/2017 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94121,40217_20160502,05/02/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94110,1632_20160810,08/10/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94102,62277_20160429,04/29/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94133,1833_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94133,13313_20160518,05/18/2016 12:00:00 AM,Routine - Unscheduled,
94122,69282_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94123,18805_20160607,06/07/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94121,37882_20160413,04/13/2016 12:00:00 AM,Reinspection/Followup,
94109,77778_20160502,05/02/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94111,75259_20160325,03/25/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94110,180_20141104,11/04/2014 12:00:00 AM,Routine - Unscheduled,High Risk
94122,3211_20160815,08/15/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
,81509_20161205,12/05/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94127,38798_20160518,05/18/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94132,3253_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94118,1977_20160328,03/28/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94122,77564_20160503,05/03/2016 12:00:00 AM,Routine - Unscheduled,High Risk
94133,486_20160812,08/12/2016 12:00:00 AM,Reinspection/Followup,
94109,36673_20160901,09/01/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94134,18728_20160812,08/12/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94118,69762_20160413,04/13/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94102,68295_20160928,09/28/2016 12:00:00 AM,Routine - Unscheduled,Low Risk
94124,5875_20160906,09/06/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94115,18826_20160926,09/26/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94121,73889_20160322,03/22/2016 12:00:00 AM,Routine - Unscheduled,Moderate Risk
94114,1352_20170726,07/26/2017 12:00:00 AM,Routine - Unscheduled,Low Risk
